Time,Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Size
2026-07-05 15:04:31,142.250.202.14,192.168.0.121,UDP,443,54489,82
2026-07-05 15:04:31,142.250.202.14,192.168.0.121,UDP,443,54489,82
2026-07-05 15:04:31,142.250.202.14,192.168.0.121,UDP,443,54489,1292
2026-07-05 15:04:31,142.250.202.14,192.168.0.121,UDP,443,54489,1292
2026-07-05 15:04:31,192.168.0.121,142.250.202.14,UDP,54489,443,1292
2026-07-05 15:04:31,142.250.202.14,192.168.0.121,UDP,443,54489,1292
2026-07-05 15:04:31,142.250.202.14,192.168.0.121,UDP,443,54489,1292
2026-07-05 15:04:31,142.250.202.14,192.168.0.121,UDP,443,54489,334
2026-07-05 15:04:31,142.250.202.14,192.168.0.121,UDP,443,54489,1000
2026-07-05 15:04:31,142.250.202.14,192.168.0.121,UDP,443,54489,111
2026-07-05 15:04:31,142.250.202.14,192.168.0.121,UDP,443,54489,66
2026-07-05 15:04:31,192.168.0.121,142.250.202.14,UDP,54489,443,136
2026-07-05 15:04:31,192.168.0.121,142.250.202.14,UDP,54489,443,73
2026-07-05 15:04:31,192.168.0.121,142.250.202.14,UDP,54489,443,74
2026-07-05 15:04:31,142.250.202.14,192.168.0.121,UDP,443,54489,162
2026-07-05 15:04:31,142.250.202.14,192.168.0.121,UDP,443,54489,64
2026-07-05 15:04:31,192.168.0.121,142.250.202.14,UDP,54489,443,73
2026-07-05 15:04:31,142.250.202.14,192.168.0.121,UDP,443,54489,410
2026-07-05 15:04:31,142.250.202.14,192.168.0.121,UDP,443,54489,63
2026-07-05 15:04:31,192.168.0.121,142.250.202.14,UDP,54489,443,77
2026-07-05 15:04:31,192.168.0.121,172.64.144.52,TCP,57524,443,54
2026-07-05 15:04:31,192.168.0.121,104.18.32.47,TCP,64633,443,54
2026-07-05 15:04:31,172.64.144.52,192.168.0.121,TCP,443,57524,58
2026-07-05 15:04:31,192.168.0.121,172.64.144.52,TCP,57524,443,54
2026-07-05 15:04:31,104.18.32.47,192.168.0.121,TCP,443,64633,54
2026-07-05 15:04:31,192.168.0.121,104.18.32.47,TCP,64633,443,54
2026-07-05 15:04:31,142.250.202.14,192.168.0.121,UDP,443,54489,65
2026-07-05 15:04:31,192.168.0.121,157.240.227.60,TCP,65089,5222,123
2026-07-05 15:04:31,157.240.227.60,192.168.0.121,TCP,5222,65089,60
2026-07-05 15:04:32,157.240.227.60,192.168.0.121,TCP,5222,65089,125
2026-07-05 15:04:32,192.168.0.121,157.240.227.60,TCP,65089,5222,54
2026-07-05 15:04:32,104.18.39.21,192.168.0.121,TCP,443,59787,82
2026-07-05 15:04:32,192.168.0.121,104.18.39.21,TCP,59787,443,82
2026-07-05 15:04:32,104.18.39.21,192.168.0.121,TCP,443,59787,64
2026-07-05 15:04:33,192.168.0.121,104.18.32.47,TCP,55571,443,66
2026-07-05 15:04:33,192.168.0.121,172.64.148.235,TCP,58460,443,144
2026-07-05 15:04:33,172.64.148.235,192.168.0.121,TCP,443,58460,64
2026-07-05 15:04:33,104.18.32.47,192.168.0.121,TCP,443,55571,70
2026-07-05 15:04:33,192.168.0.121,104.18.32.47,TCP,55571,443,54
2026-07-05 15:04:33,192.168.0.121,104.18.32.47,TCP,55571,443,2046
2026-07-05 15:04:33,104.18.32.47,192.168.0.121,TCP,443,55571,64
2026-07-05 15:04:33,104.18.32.47,192.168.0.121,TCP,443,55571,64
2026-07-05 15:04:33,104.18.32.47,192.168.0.121,TCP,443,55571,1429
2026-07-05 15:04:33,192.168.0.121,104.18.32.47,TCP,55571,443,118
2026-07-05 15:04:33,192.168.0.121,104.18.32.47,TCP,55571,443,146
2026-07-05 15:04:33,192.168.0.121,104.18.32.47,TCP,55571,443,9848
2026-07-05 15:04:33,192.168.0.121,104.18.32.47,TCP,55571,443,133
2026-07-05 15:04:33,192.168.0.121,104.18.32.47,TCP,55571,443,5654
2026-07-05 15:04:33,104.18.32.47,192.168.0.121,TCP,443,55571,60
2026-07-05 15:04:33,192.168.0.121,104.18.32.47,TCP,55571,443,2854
2026-07-05 15:04:33,104.18.32.47,192.168.0.121,TCP,443,55571,575
2026-07-05 15:04:33,104.18.32.47,192.168.0.121,TCP,443,55571,60
2026-07-05 15:04:33,192.168.0.121,104.18.32.47,TCP,55571,443,1538
2026-07-05 15:04:33,192.168.0.121,104.18.32.47,TCP,55571,443,85
2026-07-05 15:04:33,104.18.32.47,192.168.0.121,TCP,443,55571,60
2026-07-05 15:04:33,104.18.32.47,192.168.0.121,TCP,443,55571,60
2026-07-05 15:04:33,104.18.32.47,192.168.0.121,TCP,443,55571,60
2026-07-05 15:04:33,104.18.32.47,192.168.0.121,TCP,443,55571,60
2026-07-05 15:04:33,104.18.32.47,192.168.0.121,TCP,443,55571,60
2026-07-05 15:04:33,172.64.148.235,192.168.0.121,TCP,443,58460,137
2026-07-05 15:04:33,192.168.0.121,172.64.148.235,TCP,58460,443,54
2026-07-05 15:04:33,104.18.32.47,192.168.0.121,TCP,443,55571,1445
2026-07-05 15:04:33,104.18.32.47,192.168.0.121,TCP,443,55571,930
2026-07-05 15:04:33,104.18.32.47,192.168.0.121,TCP,443,55571,867
2026-07-05 15:04:33,104.18.32.47,192.168.0.121,TCP,443,55571,85
2026-07-05 15:04:33,192.168.0.121,104.18.32.47,TCP,55571,443,54
2026-07-05 15:04:33,104.18.32.47,192.168.0.121,TCP,443,55571,370
2026-07-05 15:04:33,104.18.32.47,192.168.0.121,TCP,443,55571,867
2026-07-05 15:04:33,104.18.32.47,192.168.0.121,TCP,443,55571,85
2026-07-05 15:04:33,192.168.0.121,104.18.32.47,TCP,55571,443,54
2026-07-05 15:04:33,157.240.227.60,192.168.0.121,TCP,5222,65089,188
2026-07-05 15:04:33,192.168.0.121,157.240.227.60,TCP,65089,5222,54
2026-07-05 15:04:33,192.168.0.121,157.240.227.60,TCP,65089,5222,128
2026-07-05 15:04:34,192.168.0.121,157.240.227.60,TCP,65089,5222,128
2026-07-05 15:04:34,192.168.0.121,192.168.0.1,UDP,58676,53,79
2026-07-05 15:04:34,192.168.0.121,192.168.0.1,UDP,50435,53,79
2026-07-05 15:04:34,157.240.227.60,192.168.0.121,TCP,5222,65089,60
2026-07-05 15:04:34,192.168.0.1,192.168.0.121,UDP,53,58676,153
2026-07-05 15:04:34,192.168.0.1,192.168.0.121,UDP,53,50435,119
2026-07-05 15:04:34,192.168.0.121,142.250.202.14,UDP,53504,443,1292
2026-07-05 15:04:34,192.168.0.121,142.250.202.14,UDP,53504,443,1292
2026-07-05 15:04:34,192.168.0.121,142.250.202.14,UDP,53504,443,120
2026-07-05 15:04:34,142.250.202.14,192.168.0.121,UDP,443,53504,82
2026-07-05 15:04:34,142.250.202.14,192.168.0.121,UDP,443,53504,1292
2026-07-05 15:04:34,192.168.0.121,142.250.202.14,UDP,53504,443,1292
2026-07-05 15:04:34,142.250.202.14,192.168.0.121,UDP,443,53504,1292
2026-07-05 15:04:34,142.250.202.14,192.168.0.121,UDP,443,53504,1292
2026-07-05 15:04:34,142.250.202.14,192.168.0.121,UDP,443,53504,330
2026-07-05 15:04:34,142.250.202.14,192.168.0.121,UDP,443,53504,994
2026-07-05 15:04:34,142.250.202.14,192.168.0.121,UDP,443,53504,67
2026-07-05 15:04:34,192.168.0.121,142.250.202.14,UDP,53504,443,120
2026-07-05 15:04:34,192.168.0.121,142.250.202.14,UDP,53504,443,73
2026-07-05 15:04:34,192.168.0.121,142.250.202.14,UDP,53504,443,1288
2026-07-05 15:04:34,192.168.0.121,142.250.202.14,UDP,53504,443,1292
2026-07-05 15:04:34,192.168.0.121,142.250.202.14,UDP,53504,443,1292
2026-07-05 15:04:34,192.168.0.121,142.250.202.14,UDP,53504,443,1292
2026-07-05 15:04:34,192.168.0.121,142.250.202.14,UDP,53504,443,1292
2026-07-05 15:04:34,192.168.0.121,142.250.202.14,UDP,53504,443,1292
2026-07-05 15:04:34,192.168.0.121,142.250.202.14,UDP,53504,443,1292
2026-07-05 15:04:34,192.168.0.121,142.250.202.14,UDP,53504,443,1292
